Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS01025, WP_003234986.1, , 1199.0, 23, 0.61, 13.77, 63.5441
B4U62_RS03535, WP_003234045.1, , 2055.0, 15, 1.05, 5.24, 28.2003
B4U62_RS01230, WP_003234898.1, skfF, 1104.7, 13, 0.56, 8.45, 30.5553
B4U62_RS12450, WP_003230542.1, , 612.7, 12, 0.31, 14.06, 34.2545
B4U62_RS09525, WP_003245299.1, , 628.3, 11, 0.32, 12.57, 30.3332
B4U62_RS02075, WP_003246558.1, , 585.7, 10, 0.30, 12.26, 27.4755
B4U62_RS12420, WP_003230556.1, rpsA, 990.7, 8, 0.50, 5.80, 16.5271
B4U62_RS20050, WP_009968321.1, , 1426.7, 7, 0.73, 3.52, 11.3954
B4U62_RS19435, WP_010886627.1, , 526.0, 6, 0.27, 8.19, 14.7135
B4U62_RS02515, WP_003246542.1, , 406.7, 5, 0.21, 8.83, 12.8334
B4U62_RS09375, WP_003245436.1, , 358.7, 5, 0.18, 10.01, 13.4411
B4U62_RS07795, WP_003232389.1, , 505.7, 4, 0.26, 5.68, 8.8107
B4U62_RS09170, WP_003245732.1, , 669.0, 4, 0.34, 4.29, 7.75717
B4U62_RS10365, WP_004399321.1, , 553.3, 4, 0.28, 5.19, 8.47008
B4U62_RS11740, WP_003246042.1, , 479.0, 4, 0.24, 6.00, 9.01689
